基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
018036,长城全球新能源车股票发起式(QDII)C,QDII-普通股票,2.6602,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
018043,天弘纳斯达克100指数发起(QDII)A,指数型-海外股票,2.0298,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.10%
018044,天弘纳斯达克100指数发起(QDII)C,指数型-海外股票,2.0126,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
018064,华夏标普500ETF发起式联接(QDII)A(人民币),指数型-海外股票,1.6922,09-09,暂停申购,开放赎回,,10.0,100.0,1.0,4,0.12%
018065,华夏标普500ETF发起式联接(QDII)C,指数型-海外股票,1.6754,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
018066,华夏标普500ETF发起式联接(QDII)A(美元),指数型-海外股票,0.2523,09-09,暂停申购,开放赎回,,1.0,0,0,,1.20%
018078,南方恒生生物科技ETF发起联接(QDII)A,指数型-海外股票,1.2419,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
018079,南方恒生生物科技ETF发起联接(QDII)C,指数型-海外股票,1.2299,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
018147,建信新兴市场混合(QDII)C,QDII-混合偏股,2.4460,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
018155,创金合信全球医药生物股票发起(QDII)A,QDII-普通股票,1.5492,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.15%
018156,创金合信全球医药生物股票发起(QDII)C,QDII-普通股票,1.5287,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
018200,嘉实恒生消费ETF发起联接(QDII)A,指数型-海外股票,0.7557,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.10%
018201,嘉实恒生消费ETF发起联接(QDII)C,指数型-海外股票,0.7493,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
018229,易方达全球优质企业混合(QDII)A(人民币份额),QDII-混合偏股,2.0215,09-09,限大额,开放赎回,,10.0,50000.0,1.0,1,0.15%
018230,易方达全球优质企业混合(QDII)C(人民币份额),QDII-混合偏股,1.9909,09-09,限大额,开放赎回,,10.0,50000.0,0.0,1,0.00%
018231,易方达全球优质企业混合(QDII)A(美元现汇份额),QDII-混合偏股,0.2983,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
