基金代码,基金简称,基金类型,净值,净值日期_原始月日,申购状态,赎回状态,下一开放日,购买起点_原始,日累计限额_原始,原始字段10,原始字段11,手续费
000041,华夏全球股票(QDII)(人民币),QDII-普通股票,1.3770,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.16%
000043,嘉实美国成长股票人民币,QDII-普通股票,6.2720,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
000044,嘉实美国成长股票美元现汇,QDII-普通股票,5.6480,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
000055,广发纳斯达克100ETF联接美元(QDII)A,指数型-海外股票,1.2007,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
000071,华夏恒生ETF联接A,指数型-海外股票,1.4789,09-10,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
000075,华夏恒生ETF联接现汇,指数型-海外股票,0.2182,09-10,开放申购,开放赎回,,200.0,0,0,,0.00%
000076,华夏恒生ETF联接现钞,指数型-海外股票,0.2182,09-10,开放申购,开放赎回,,200.0,0,0,,0.00%
000103,国泰境外高收益债(QDII),QDII-纯债,0.8050,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
000179,广发美国房地产指数人民币(QDII)A,指数型-海外股票,1.2250,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.13%
000180,广发美国房地产指数美元现汇(QDII)A,指数型-海外股票,0.1808,09-09,限大额,开放赎回,,10.0,0,0,,1.30%
000274,广发亚太中高收益债(QDII)A,QDII-纯债,1.1936,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
000275,广发亚太中高收益债美元现汇(QDII)A,QDII-纯债,0.1761,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
000290,鹏华全球高收益债(QDII),QDII-纯债,0.6464,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.08%
000341,嘉实新兴市场C2(QDII),QDII-纯债,1.1200,09-09,限大额,开放赎回,,0,0,0,,0.00%
000342,嘉实新兴市场A1(QDII),QDII-纯债,1.2560,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.08%
000369,广发全球医疗保健指数人民币(QDII)A,指数型-海外股票,2.5420,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.13%
000370,广发全球医疗保健美元现汇(QDII)A,指数型-海外股票,0.3751,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
000593,易方达标普消费品指数美元现汇A,指数型-海外股票,0.4121,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
000614,华安德国(DAX)联接(QDII)A,指数型-海外股票,1.9971,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.12%
000834,大成纳斯达克100ETF联接(QDII)A,指数型-海外股票,6.2838,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.12%
000906,广发全球精选股票(QDII)美元A,QDII-普通股票,0.9440,09-09,限大额,开放赎回,,10.0,0,0,,1.60%
000927,博时大中华亚太精选美元现汇,QDII-普通股票,0.1989,09-09,限大额,开放赎回,,10.0,0,0,,1.60%
000934,国富大中华精选混合,QDII-混合偏股,3.3510,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
000988,嘉实全球互联网股票人民币,QDII-普通股票,2.2120,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
000989,嘉实全球互联网股票美元现汇,QDII-普通股票,1.9900,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
000990,嘉实全球互联网股票美元现钞,QDII-普通股票,1.9900,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.15%
001061,华夏收益债券(QDII)A,QDII-纯债,1.4507,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.08%
001063,华夏收益债券(QDII)C,QDII-纯债,1.3758,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
001065,华夏海外收益债券现汇,QDII-纯债,0.2141,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001066,华夏海外收益债券现钞,QDII-纯债,0.2141,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001092,广发生物科技指数人民币(QDII)A,指数型-海外股票,1.7030,09-09,限大额,开放赎回,,10.0,10.0,1.0,1,0.13%
001093,广发生物科技指数美元(QDII)A,指数型-海外股票,0.2513,09-09,限大额,开放赎回,,1.0,0,0,,1.30%
001481,华宝标普油气上游股票美元A,指数型-海外股票,0.1505,09-09,暂停申购,开放赎回,,1000.0,0,0,,1.50%
001668,汇添富全球移动互联混合(QDII)人民币A,QDII-混合灵活,5.2893,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.16%
001691,南方香港成长灵活配置混合,QDII-混合灵活,2.0853,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.16%
001876,鹏华全球高收益债美元现汇,QDII-纯债,0.0954,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
001984,摩根中国生物医药混合(QDII)A,QDII-混合偏股,1.5065,09-09,开放申购,开放赎回,,10.0,9999999999,1.0,1,0.15%
002230,华夏大中华混合(QDII),QDII-混合灵活,1.2880,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.15%
002286,中银美元债债券(QDII)人民币A,QDII-纯债,1.1969,09-09,限大额,开放赎回,,10.0,300000.0,1.0,1,0.08%
002287,中银美元债债券(QDII)美元,QDII-纯债,0.1766,09-09,限大额,开放赎回,,0,0,0,,0.80%
002379,工银香港中小盘人民币,QDII-普通股票,1.6600,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.15%
002380,工银香港中小盘美元,QDII-普通股票,0.2449,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
002391,华安全球美元收益债人民币A,QDII-混合债,1.1740,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
002392,华安全球美元收益债美元现汇A,QDII-混合债,0.1732,09-09,限大额,开放赎回,,0,0,0,,0.80%
002393,华安全球美元收益债C,QDII-混合债,1.1230,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
002400,南方亚洲美元收益债券(QDII)A(人民币),QDII-纯债,1.0066,09-09,限大额,开放赎回,,10.0,2000000.0,1.0,1,0.08%
002401,南方亚洲美元收益债券(QDII)C(人民币),QDII-纯债,0.9541,09-09,限大额,开放赎回,,10.0,2000000.0,0.0,1,0.00%
002402,南方亚洲美元收益债券(QDII)A(美元现汇),QDII-纯债,0.1485,09-09,限大额,开放赎回,,100.0,0,0,,0.80%
002403,南方亚洲美元收益债券(QDII)C(美元现汇),QDII-纯债,0.1408,09-09,限大额,开放赎回,,100.0,0,0,,0.00%
002423,华宝标普美国消费美元,指数型-海外股票,0.4074,09-09,限大额,开放赎回,,1000.0,0,0,,1.20%
002426,华安全球美元票息债人民币A,QDII-混合债,1.1630,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.08%
002427,华安全球美元票息债美元现汇A,QDII-混合债,0.1716,09-09,限大额,开放赎回,,0,0,0,,0.80%
002429,华安全球美元票息债C,QDII-混合债,1.1120,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
002877,华夏大中华信用债A,QDII-纯债,1.0237,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.08%
002878,华夏大中华信用债美元现汇A,QDII-纯债,0.1511,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
002879,华夏大中华信用债美元现钞A,QDII-纯债,0.1511,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
002880,华夏大中华信用债C,QDII-纯债,1.0154,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
002891,华夏移动互联混合人民币,QDII-混合灵活,2.7640,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
002892,华夏移动互联混合美元现汇,QDII-混合灵活,0.4079,09-09,暂停申购,开放赎回,,1.0,0,0,,1.50%
002893,华夏移动互联混合美元现钞,QDII-混合灵活,0.4079,09-09,暂停申购,开放赎回,,1.0,0,0,,1.50%
003243,摩根中国世纪混合(QDII)人民币,QDII-混合灵活,1.7775,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
003244,摩根中国世纪混合(QDII)美元现钞,QDII-混合灵活,1.0000,11-11,开放申购,开放赎回,,200.0,0,0,,1.50%
003245,摩根中国世纪混合(QDII)美元现汇,QDII-混合灵活,1.0000,11-11,开放申购,开放赎回,,200.0,0,0,,1.50%
003321,易方达原油C类人民币,QDII-商品,1.8398,09-09,暂停申购,开放赎回,,10.0,500.0,0.0,4,0.00%
003322,易方达原油A类美元汇,QDII-商品,0.2837,09-09,暂停申购,开放赎回,,0,0,0,,1.20%
003323,易方达原油C类美元汇,QDII-商品,0.2715,09-09,暂停申购,开放赎回,,0,0,0,,0.00%
003385,工银全球美元债A人民币,QDII-纯债,1.0108,09-09,限大额,开放赎回,,10.0,500000.0,1.0,1,0.08%
003386,工银全球美元债A美元现汇,QDII-纯债,0.1492,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
003387,工银全球美元债C,QDII-纯债,0.9768,09-09,限大额,开放赎回,,10.0,500000.0,0.0,1,0.00%
003606,海富通全球收益债券美元,QDII-纯债,0.1376,09-09,限大额,开放赎回,,1000.0,0,0,,0.80%
003629,摩根全球多元配置(QDII-FOF)人民币A,QDII-混合平衡,1.8759,09-09,限大额,开放赎回,,10.0,100000.0,99.0,1,1.50%
003630,摩根全球多元配置(QDII-FOF)美元现钞,QDII-混合平衡,0.2768,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
003631,摩根全球多元配置(QDII-FOF)美元现汇,QDII-混合平衡,0.2768,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
003718,易方达标普500指数美元汇A,指数型-海外股票,0.4626,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
003719,易方达标普医疗保健美元汇A,指数型-海外股票,0.3096,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
003720,易方达标普生物科技美元汇A,指数型-海外股票,0.3106,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,1.0020,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
003722,易方达纳斯达克100ETF联接(QDII-LOF)A(美元现汇),指数型-海外股票,0.6542,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
003972,国富美元债一年持有期债券(QDII)人民币,QDII-混合债,0.9496,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.08%
003973,国富美元债一年持有期债券(QDII)美元现汇,QDII-混合债,0.1416,09-09,限大额,开放赎回,,0,0,0,,0.80%
004243,广发道琼斯石油指数人民币C,指数型-海外股票,3.1238,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
004419,汇添富美元债债券(QDII)人民币A,QDII-纯债,1.0326,09-09,限大额,开放赎回,,10.0,5000000.0,1.0,1,0.08%
004420,汇添富美元债债券(QDII)人民币C,QDII-纯债,0.9995,09-09,限大额,开放赎回,,10.0,5000000.0,0.0,1,0.00%
004421,汇添富美元债债券(QDII)美元现汇A,QDII-纯债,1.0505,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.08%
004422,汇添富美元债债券(QDII)美元现汇C,QDII-纯债,1.0075,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
004877,汇添富全球医疗混合(QDII)人民币,QDII-混合偏股,2.5351,09-09,限大额,开放赎回,,10.0,200000.0,1.0,1,0.16%
004878,汇添富全球医疗混合(QDII)美元现汇,QDII-混合偏股,2.4971,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.16%
004879,汇添富全球医疗混合(QDII)美元现钞,QDII-混合偏股,2.4971,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.16%
004998,长信全球债券人民币,QDII-纯债,1.2267,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.08%
004999,长信全球债券美元,QDII-纯债,0.1810,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.08%
005243,融通中国概念债券(QDII)A,QDII-混合债,1.1579,09-09,限大额,开放赎回,,10.0,1000000.0,1.0,1,0.08%
005534,华夏新时代混合人民币(QDII),QDII-混合灵活,2.1145,09-09,限大额,开放赎回,,10.0,50000.0,1.0,1,0.15%
005613,摩根富时发达市场REITs指数(QDII)人民币A,指数型-海外股票,1.4956,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.10%
005614,摩根富时发达市场REITs指数(QDII)美钞,指数型-海外股票,0.2207,09-09,限大额,开放赎回,,1.0,0,0,,1.00%
005615,摩根富时发达市场REITs指数(QDII)美汇,指数型-海外股票,0.2207,09-09,限大额,开放赎回,,1.0,0,0,,1.00%
005675,易方达恒生国企ETF联接C,指数型-海外股票,1.0260,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
005676,易方达标普消费品指数C,指数型-海外股票,2.7330,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
005698,华夏全球科技先锋混合(QDII)A(人民币),QDII-混合偏股,2.7195,09-09,限大额,开放赎回,,10.0,5000.0,1.0,1,0.15%
005699,工银新经济混合(QDII)人民币A,QDII-混合灵活,1.3676,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
005700,工银新经济混合(QDII)美元,QDII-混合灵活,0.2018,09-09,限大额,开放赎回,,1.0,0,0,,1.50%
005801,工银印度基金美元,QDII-混合偏股,0.1902,09-09,暂停申购,暂停赎回,,1.0,0.01,1.0,,0.12%
006075,博时标普500ETF联接C,指数型-海外股票,5.3864,09-09,暂停申购,开放赎回,,10.0,100.0,0.0,4,0.00%
006105,宏利印度股票(QDII)A,QDII-普通股票,1.3497,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.15%
006263,易方达香港小型股指数C,指数型-海外股票,0.8732,09-10,限大额,开放赎回,,10.0,3000.0,0.0,1,0.00%
006282,摩根欧洲动力策略股票(QDII)A,QDII-普通股票,1.8242,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.15%
006283,鹏华美国房地产美元现汇,QDII-REITs,0.1340,09-09,限大额,开放赎回,,0,0,0,,1.00%
006285,鹏华全球中短债(QDII)美元现汇A,QDII-混合债,0.0818,09-09,限大额,开放赎回,,1.0,0,0,,0.80%
006308,汇添富全球消费混合(QDII)人民币A,QDII-混合偏股,2.1931,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.16%
006309,汇添富全球消费混合(QDII)人民币C,QDII-混合偏股,2.0223,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
006310,汇添富全球消费混合(QDII)美元现汇,QDII-混合偏股,2.2099,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.16%
006327,易方达中证海外互联网50ETF联接(QDII)A,指数型-海外股票,0.8255,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.12%
006328,易方达中证海外互联网50ETF联接(QDII)C,指数型-海外股票,0.7970,09-09,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
006329,易方达中证海外互联网50ETF联接(QDII)(美元现汇)A,指数型-海外股票,0.1218,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.12%
006330,易方达中证海外互联网50ETF联接(QDII)(美元现汇)C,指数型-海外股票,0.1176,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
006370,国富大中华精选混合美元,QDII-混合偏股,0.4945,09-09,开放申购,开放赎回,,0,0,0,,1.50%
006373,国富全球科技互联混合(QDII)人民币A,QDII-混合偏股,6.9589,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.15%
006374,国富全球科技互联混合(QDII)美元现汇A,QDII-混合偏股,7.0511,09-09,限大额,开放赎回,,0,0,0,,1.50%
006381,华夏恒生ETF联接C,指数型-海外股票,1.4446,09-10,开放申购,开放赎回,,10.0,100000000000,0.0,1,0.00%
006426,汇添富全球移动互联混合(QDII)美元现汇,QDII-混合灵活,5.5358,09-09,暂停申购,暂停赎回,,10.0,0.01,1.0,6,0.16%
006445,华夏海外聚享混合发起式(QDII-FOF)A人民币,QDII-混合平衡,1.6857,09-09,限大额,开放赎回,,10.0,100000.0,1.0,1,0.10%
006446,华夏海外聚享混合发起式(QDII-FOF)A美元现汇,QDII-混合平衡,0.2487,09-09,限大额,开放赎回,,1.0,0,0,,1.00%
006447,华夏海外聚享混合发起式(QDII-FOF)A美元现钞,QDII-混合平衡,0.2487,09-09,限大额,开放赎回,,1.0,0,0,,1.00%
006448,华夏海外聚享混合发起式(QDII-FOF)C人民币,QDII-混合平衡,1.6322,09-09,限大额,开放赎回,,10.0,100000.0,0.0,1,0.00%
006476,南方原油C,QDII-商品,1.9285,09-09,暂停申购,开放赎回,,10.0,1.0,0.0,4,0.00%
006479,广发纳斯达克100ETF联接人民币(QDII)C,指数型-海外股票,7.9947,09-09,限大额,开放赎回,,2.0,2.0,0.0,1,0.00%
006480,广发纳斯达克100ETF联接美元(QDII)C,指数型-海外股票,1.1797,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
006555,浦银全球智能科技(QDII)A,QDII-普通股票,3.6179,09-09,暂停申购,开放赎回,,10.0,3000.0,1.0,4,0.15%
006679,广发道琼斯石油指数美元现汇A,指数型-海外股票,0.4692,09-09,暂停申购,开放赎回,,1.0,0,0,,1.20%
006680,广发道琼斯石油指数美元现汇C,指数型-海外股票,0.4609,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
006792,鹏华港美互联股票美元现汇,QDII-普通股票,0.2796,09-09,暂停申购,开放赎回,,0,0,0,,1.50%
007140,富国全球债券(QDII)美元现汇,QDII-混合债,0.1853,09-09,暂停申购,开放赎回,,200.0,0,0,,0.80%
007204,银华美元债精选债券(QDII)A,QDII-纯债,1.0831,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.08%
007205,银华美元债精选债券(QDII)C,QDII-纯债,1.0544,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
007280,摩根日本精选股票(QDII)A,QDII-普通股票,2.2426,09-10,限大额,开放赎回,,10.0,2000.0,1.0,1,0.15%
007360,易方达中短期美元债(QDII)A人民币,QDII-纯债,1.1675,09-09,限大额,开放赎回,,10.0,10000.0,1.0,1,0.05%
007361,易方达中短期美元债(QDII)C人民币,QDII-纯债,1.1429,09-09,限大额,开放赎回,,10.0,10000.0,0.0,1,0.00%
007362,易方达中短期美元债(QDII)A美元现汇,QDII-纯债,0.1723,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.05%
007363,易方达中短期美元债(QDII)C美元现汇,QDII-纯债,0.1686,09-09,暂停申购,开放赎回,,10.0,0.01,0.0,4,0.00%
007455,富国蓝筹精选股票(QDII)人民币,QDII-普通股票,2.9465,09-09,限大额,开放赎回,,10.0,50000000,1.0,1,0.15%
007721,天弘标普500发起(QDII-FOF)A,QDII-FOF,2.2463,09-09,限大额,开放赎回,,10.0,100.0,1.0,1,0.10%
007722,天弘标普500发起(QDII-FOF)C,QDII-FOF,2.2046,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
007729,招商普盛全球配置(QDII)人民币A,QDII-混合灵活,1.3498,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
007844,华宝标普油气上游股票人民币C,指数型-海外股票,0.9910,09-09,暂停申购,开放赎回,,10.0,10.0,0.0,4,0.00%
007975,招商普盛全球配置(QDII-FOF)美元现汇,QDII-混合灵活,0.2012,09-09,暂停申购,暂停赎回,,0,0.01,1.0,,0.15%
007976,易方达黄金主题人民币C,QDII-商品,1.6228,09-09,暂停申购,开放赎回,,10.0,500.0,0.0,4,0.00%
007977,易方达黄金主题美元现汇A,QDII-商品,0.2401,09-09,暂停申购,开放赎回,,1.0,0,0,,1.00%
007978,易方达黄金主题美元现汇C,QDII-商品,0.2395,09-09,暂停申购,开放赎回,,1.0,0,0,,0.00%
008095,中银亚太精选债券(QDII)人民币A,QDII-纯债,1.0355,09-09,限大额,开放赎回,,10.0,300000.0,1.0,1,0.08%
008096,中银亚太精选债券(QDII)人民币C,QDII-纯债,1.0131,09-09,限大额,开放赎回,,10.0,300000.0,0.0,1,0.00%
008097,中银亚太精选债券(QDII)美元A,QDII-纯债,0.1528,09-09,限大额,开放赎回,,0,0,0,,0.80%
008098,中银亚太精选债券(QDII)美元C,QDII-纯债,0.1495,09-09,限大额,开放赎回,,0,0,0,,0.00%
008183,招商普盛全球配置(QDII-FOF)美元现钞,QDII-混合灵活,0.2012,09-09,暂停申购,暂停赎回,,0,0.01,1.0,,0.15%
008253,华宝致远混合(QDII)A,QDII-混合偏股,1.7352,09-09,限大额,开放赎回,,10.0,2000.0,1.0,1,0.15%
008254,华宝致远混合(QDII)C,QDII-混合偏股,1.6890,09-09,限大额,开放赎回,,10.0,2000.0,0.0,1,0.00%
008284,易方达全球医药行业混合发起式(QDII)A(人民币),QDII-混合偏股,1.1345,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
008285,易方达全球医药行业混合发起式(QDII)A(美元现汇),QDII-混合偏股,0.1674,09-09,暂停申购,开放赎回,,10.0,0.01,1.0,4,0.15%
008320,鹏华全球中短债(QDII)人民币C,QDII-混合债,0.5426,09-09,限大额,开放赎回,,10.0,1000000.0,0.0,1,0.00%
008321,鹏华全球中短债(QDII)美元现汇C,QDII-混合债,0.0801,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
008367,富国亚洲收益债券(QDII)人民币A,QDII-纯债,1.0534,09-09,限大额,开放赎回,,10.0,10000000,1.0,1,0.08%
008368,富国亚洲收益债券(QDII)美元现汇,QDII-纯债,0.1554,09-09,限大额,开放赎回,,0,0,0,,0.80%
008401,大成标普500等权重指数(QDII)C人民币,指数型-海外股票,2.7745,09-09,限大额,开放赎回,,10.0,100.0,0.0,1,0.00%
008706,建信富时100指数(QDII)C人民币,指数型-海外股票,1.4759,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
008707,建信富时100指数(QDII)A美元现汇,指数型-海外股票,0.2225,09-09,限大额,开放赎回,,1.0,0,0,,1.20%
008708,建信富时100指数(QDII)C美元现汇,指数型-海外股票,0.2178,09-09,限大额,开放赎回,,1.0,0,0,,0.00%
008751,大成全球美元债(QDII)A人民币,QDII-纯债,1.0283,09-09,限大额,开放赎回,,10.0,50000.0,1.0,1,0.08%
008752,大成全球美元债(QDII)C人民币,QDII-纯债,0.9973,09-09,限大额,开放赎回,,10.0,50000.0,0.0,1,0.00%
008763,天弘越南市场股票发起(QDII)A,QDII-普通股票,1.6318,09-09,限大额,开放赎回,,10.0,500.0,1.0,1,0.10%
008764,天弘越南市场股票发起(QDII)C,QDII-普通股票,1.6032,09-09,限大额,开放赎回,,10.0,500.0,0.0,1,0.00%
008971,大成纳斯达克100ETF联接(QDII)C,指数型-海外股票,6.2248,09-09,限大额,开放赎回,,10.0,10.0,0.0,1,0.00%
009108,富国红利精选混合(QDII)人民币,QDII-混合偏股,1.9245,09-09,开放申购,开放赎回,,10.0,100000000000,1.0,1,0.15%
009193,富国红利精选混合(QDII)美元,QDII-混合偏股,0.2840,09-09,开放申购,开放赎回,,0,0,0,,1.50%
009225,天弘中证中美互联网(QDII)A,指数型-海外股票,1.3448,09-09,限大额,开放赎回,,10.0,1000.0,1.0,1,0.10%
009226,天弘中证中美互联网(QDII)C,指数型-海外股票,1.3232,09-09,限大额,开放赎回,,10.0,1000.0,0.0,1,0.00%
009562,工银全球股票(QDII)美元,QDII-普通股票,0.1840,09-09,暂停申购,开放赎回,,2.0,0,0,,1.60%
